
'utc': '2020-05-18 02:43:31.942093', 'gpstime': '122506.00', 'lat': '5351.96158', 'lon': '00107.56145', 'fix': '1', 'nsat': '07', 'HDOP': '1.44', 'alt': '53.1', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 25.558098725871673, 'Humidity': 37.473105973907074, 'Sampling Period': 10.16870403289795, 'PM1': 5.308888912200928, 'PM2.5': 10.320170402526855, 'PM10': 52.71492385864258
'utc': '2020-05-18 02:45:47.868362', 'gpstime': '122722.00', 'lat': '5351.96972', 'lon': '00107.39733', 'fix': '1', 'nsat': '07', 'HDOP': '1.07', 'alt': '6.2', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 26.492713817044333, 'Humidity': 38.99900816357671, 'Sampling Period': 10.169685363769531, 'PM1': 33.285240173339844, 'PM2.5': 45.85298538208008, 'PM10': 209.421875
'utc': '2020-05-18 02:45:58.020997', 'gpstime': '122732.00', 'lat': '5351.97147', 'lon': '00107.38332', 'fix': '1', 'nsat': '08', 'HDOP': '0.99', 'alt': '8.6', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 26.59151598382543, 'Humidity': 38.91203173876554, 'Sampling Period': 10.168234825134277, 'PM1': 12.544448852539062, 'PM2.5': 16.294477462768555, 'PM10': 59.785919189453125
'utc': '2020-05-18 02:46:08.170840', 'gpstime': '122742.00', 'lat': '5351.97344', 'lon': '00107.36869', 'fix': '1', 'nsat': '08', 'HDOP': '0.99', 'alt': '8.9', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 26.703669794766157, 'Humidity': 37.70351720454719, 'Sampling Period': 10.166826248168945, 'PM1': 54.27873611450195, 'PM2.5': 75.92901611328125, 'PM10': 198.091552734375
'utc': '2020-05-18 02:46:30.259290', 'gpstime': '122804.00', 'lat': '5351.97746', 'lon': '00107.33791', 'fix': '1', 'nsat': '08', 'HDOP': '0.99', 'alt': '7.8', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 26.79179064621958, 'Humidity': 37.29457541771573, 'Sampling Period': 22.166336059570312, 'PM1': 0.13249385356903076, 'PM2.5': 0.2829420268535614, 'PM10': 0.3498031795024872
'utc': '2020-05-18 02:46:40.460712', 'gpstime': '122814.00', 'lat': '5351.97979', 'lon': '00107.32326', 'fix': '1', 'nsat': '08', 'HDOP': '0.99', 'alt': '8.4', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 26.946669718471043, 'Humidity': 38.17654688334478, 'Sampling Period': 10.18553638458252, 'PM1': 28.97118377685547, 'PM2.5': 35.0899543762207, 'PM10': 57.17958068847656
'utc': '2020-05-18 02:46:50.635015', 'gpstime': '122825.00', 'lat': '5351.98275', 'lon': '00107.30964', 'fix': '1', 'nsat': '08', 'HDOP': '0.99', 'alt': '7.7', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 27.07217517357138, 'Humidity': 38.21774624246586, 'Sampling Period': 10.172224044799805, 'PM1': 19.63401222229004, 'PM2.5': 23.89673614501953, 'PM10': 45.337127685546875
'utc': '2020-05-18 02:47:00.812176', 'gpstime': '122835.00', 'lat': '5351.98498', 'lon': '00107.29876', 'fix': '1', 'nsat': '08', 'HDOP': '0.99', 'alt': '9.0', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 27.17097734035248, 'Humidity': 37.978179598687724, 'Sampling Period': 10.17243766784668, 'PM1': 1.6346286535263062, 'PM2.5': 3.426156997680664, 'PM10': 43.89044952392578
'utc': '2020-05-18 02:47:10.970955', 'gpstime': '122845.00', 'lat': '5351.98806', 'lon': '00107.28412', 'fix': '1', 'nsat': '07', 'HDOP': '1.11', 'alt': '9.1', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 27.269779507133592, 'Humidity': 37.213702601663236, 'Sampling Period': 10.16482162475586, 'PM1': 25.783647537231445, 'PM2.5': 37.53697967529297, 'PM10': 174.89486694335938
'utc': '2020-05-18 02:47:21.117937', 'gpstime': '122855.00', 'lat': '5351.99178', 'lon': '00107.26657', 'fix': '1', 'nsat': '08', 'HDOP': '0.99', 'alt': '10.1', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 27.34187838559548, 'Humidity': 37.23659113450828, 'Sampling Period': 10.166613578796387, 'PM1': 1.482767939567566, 'PM2.5': 2.1733479499816895, 'PM10': 22.019847869873047
'utc': '2020-05-18 02:47:43.251296', 'gpstime': '122917.00', 'lat': '5351.99848', 'lon': '00107.23796', 'fix': '1', 'nsat': '08', 'HDOP': '0.99', 'alt': '10.5', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 27.427328908216978, 'Humidity': 36.62775616083009, 'Sampling Period': 22.207509994506836, 'PM1': 0.19629128277301788, 'PM2.5': 0.2857005000114441, 'PM10': 0.2879393696784973
'utc': '2020-05-18 02:47:53.426283', 'gpstime': '122927.00', 'lat': '5352.00148', 'lon': '00107.22825', 'fix': '1', 'nsat': '08', 'HDOP': '0.98', 'alt': '10.5', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 27.555504692149228, 'Humidity': 36.765087357900356, 'Sampling Period': 10.171306610107422, 'PM1': 130.53268432617188, 'PM2.5': 216.3208770751953, 'PM10': 334.6260681152344
'utc': '2020-05-18 02:48:03.623545', 'gpstime': '122938.00', 'lat': '5352.00151', 'lon': '00107.22427', 'fix': '1', 'nsat': '07', 'HDOP': '1.07', 'alt': '11.8', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 27.640955214770727, 'Humidity': 36.28290226596475, 'Sampling Period': 10.175488471984863, 'PM1': 268.56549072265625, 'PM2.5': 452.1479187011719, 'PM10': 484.29388427734375
'utc': '2020-05-18 02:48:13.800485', 'gpstime': '122948.00', 'lat': '5352.00152', 'lon': '00107.22411', 'fix': '1', 'nsat': '08', 'HDOP': '0.98', 'alt': '12.3', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 27.723735408560316, 'Humidity': 35.010299839780274, 'Sampling Period': 10.170175552368164, 'PM1': 70.94683074951172, 'PM2.5': 118.2554702758789, 'PM10': 120.14442443847656
'utc': '2020-05-18 02:48:23.970959', 'gpstime': '122958.00', 'lat': '5352.00275', 'lon': '00107.22151', 'fix': '1', 'nsat': '08', 'HDOP': '0.98', 'alt': '12.2', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 27.766460669871066, 'Humidity': 34.467078660257876, 'Sampling Period': 10.166996955871582, 'PM1': 94.14176177978516, 'PM2.5': 155.59283447265625, 'PM10': 165.18814086914062
'utc': '2020-05-18 02:48:34.120428', 'gpstime': '123008.00', 'lat': '5352.00719', 'lon': '00107.20987', 'fix': '1', 'nsat': '08', 'HDOP': '0.98', 'alt': '12.6', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 27.851911192492565, 'Humidity': 35.31700617990387, 'Sampling Period': 10.166144371032715, 'PM1': 12.327363967895508, 'PM2.5': 16.118398666381836, 'PM10': 29.39574432373047
'utc': '2020-05-18 02:48:56.249266', 'gpstime': '123030.00', 'lat': '5352.01611', 'lon': '00107.19248', 'fix': '1', 'nsat': '07', 'HDOP': '1.06', 'alt': '12.5', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 27.865262836652164, 'Humidity': 35.29106584267949, 'Sampling Period': 22.206357955932617, 'PM1': 0.03914206102490425, 'PM2.5': 0.048257213085889816, 'PM10': 0.04844899848103523
'utc': '2020-05-18 02:49:06.426243', 'gpstime': '123040.00', 'lat': '5352.02129', 'lon': '00107.18397', 'fix': '1', 'nsat': '07', 'HDOP': '1.06', 'alt': '11.0', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 27.950713359273664, 'Humidity': 35.510795757991914, 'Sampling Period': 10.171605110168457, 'PM1': 4.413642406463623, 'PM2.5': 7.398360729217529, 'PM10': 7.49798059463501
'utc': '2020-05-18 02:49:16.601329', 'gpstime': '123051.00', 'lat': '5352.02801', 'lon': '00107.17365', 'fix': '1', 'nsat': '07', 'HDOP': '1.06', 'alt': '10.0', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 28.00946059357595, 'Humidity': 35.69848172732128, 'Sampling Period': 10.168170928955078, 'PM1': 18.099933624267578, 'PM2.5': 30.735361099243164, 'PM10': 33.34342956542969
'utc': '2020-05-18 02:49:26.777833', 'gpstime': '123101.00', 'lat': '5352.03362', 'lon': '00107.15690', 'fix': '1', 'nsat': '07', 'HDOP': '1.06', 'alt': '9.9', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 28.036163881895177, 'Humidity': 35.504692149233236, 'Sampling Period': 10.17143440246582, 'PM1': 2.399768114089966, 'PM2.5': 4.086123466491699, 'PM10': 39.19948959350586
'utc': '2020-05-18 02:49:36.975571', 'gpstime': '123111.00', 'lat': '5352.03892', 'lon': '00107.14806', 'fix': '1', 'nsat': '08', 'HDOP': '0.98', 'alt': '8.9', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 28.0521858548867, 'Humidity': 35.14000152590219, 'Sampling Period': 10.177130699157715, 'PM1': 2.069875717163086, 'PM2.5': 2.9435911178588867, 'PM10': 2.9651803970336914
'utc': '2020-05-18 02:49:47.124817', 'gpstime': '123121.00', 'lat': '5352.04459', 'lon': '00107.13814', 'fix': '1', 'nsat': '07', 'HDOP': '1.06', 'alt': '10.2', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 28.09491111619745, 'Humidity': 35.0743877317464, 'Sampling Period': 10.16541862487793, 'PM1': 12.505488395690918, 'PM2.5': 20.514415740966797, 'PM10': 129.31736755371094
'utc': '2020-05-18 02:50:09.248548', 'gpstime': '123143.00', 'lat': '5352.05432', 'lon': '00107.12007', 'fix': '1', 'nsat': '08', 'HDOP': '0.98', 'alt': '8.8', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 28.121614404516677, 'Humidity': 35.61150530251011, 'Sampling Period': 22.19880485534668, 'PM1': 0.29654327034950256, 'PM2.5': 0.32511669397354126, 'PM10': 5.166486740112305
'utc': '2020-05-18 02:50:19.419099', 'gpstime': '123153.00', 'lat': '5352.05426', 'lon': '00107.11950', 'fix': '1', 'nsat': '07', 'HDOP': '0.98', 'alt': '6.3', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 28.09491111619745, 'Humidity': 35.298695353627835, 'Sampling Period': 10.171114921569824, 'PM1': 4.0993499755859375, 'PM2.5': 12.509078025817871, 'PM10': 158.72189331054688
'utc': '2020-05-18 02:50:29.663904', 'gpstime': '123204.00', 'lat': '5352.05633', 'lon': '00107.10566', 'fix': '1', 'nsat': '08', 'HDOP': '0.97', 'alt': '5.1', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 28.108262760357064, 'Humidity': 34.5815213244831, 'Sampling Period': 10.175445556640625, 'PM1': 8.529937744140625, 'PM2.5': 17.125228881835938, 'PM10': 191.12344360351562
'utc': '2020-05-18 02:50:39.843468', 'gpstime': '123214.00', 'lat': '5352.06120', 'lon': '00107.09739', 'fix': '1', 'nsat': '07', 'HDOP': '1.06', 'alt': '5.7', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 28.150988021667814, 'Humidity': 35.26359960326543, 'Sampling Period': 10.17294979095459, 'PM1': 10.77725601196289, 'PM2.5': 17.64311981201172, 'PM10': 34.821163177490234
'utc': '2020-05-18 02:50:49.995939', 'gpstime': '123224.00', 'lat': '5352.06755', 'lon': '00107.08903', 'fix': '1', 'nsat': '08', 'HDOP': '0.97', 'alt': '6.2', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 28.164339665827427, 'Humidity': 36.050965133134966, 'Sampling Period': 10.167360305786133, 'PM1': 5.698695659637451, 'PM2.5': 7.943431854248047, 'PM10': 36.254058837890625
'utc': '2020-05-18 02:51:00.145373', 'gpstime': '123234.00', 'lat': '5352.07347', 'lon': '00107.08044', 'fix': '1', 'nsat': '07', 'HDOP': '1.05', 'alt': '7.2', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 28.164339665827427, 'Humidity': 35.51537346456092, 'Sampling Period': 10.16644287109375, 'PM1': 40.037349700927734, 'PM2.5': 65.15411376953125, 'PM10': 71.97330474853516
'utc': '2020-05-18 02:51:22.415573', 'gpstime': '123256.00', 'lat': '5352.08693', 'lon': '00107.05274', 'fix': '1', 'nsat': '07', 'HDOP': '1.05', 'alt': '9.0', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 28.164339665827427, 'Humidity': 34.37857633325704, 'Sampling Period': 22.347925186157227, 'PM1': 0.23700234293937683, 'PM2.5': 0.314689040184021, 'PM10': 0.3269445300102234
'utc': '2020-05-18 02:51:32.593305', 'gpstime': '123307.00', 'lat': '5352.09395', 'lon': '00107.04383', 'fix': '1', 'nsat': '07', 'HDOP': '1.05', 'alt': '8.2', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 27.99610894941634, 'Humidity': 33.842984664682994, 'Sampling Period': 10.168533325195312, 'PM1': 9.235637664794922, 'PM2.5': 10.683998107910156, 'PM10': 11.999476432800293
'utc': '2020-05-18 02:51:42.761482', 'gpstime': '123317.00', 'lat': '5352.10116', 'lon': '00107.03469', 'fix': '1', 'nsat': '08', 'HDOP': '0.97', 'alt': '8.4', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 27.921339742122527, 'Humidity': 33.23414969100481, 'Sampling Period': 10.168234825134277, 'PM1': 4.024980068206787, 'PM2.5': 4.515759468078613, 'PM10': 4.5571112632751465
'utc': '2020-05-18 02:51:52.930830', 'gpstime': '123327.00', 'lat': '5352.10807', 'lon': '00107.02300', 'fix': '1', 'nsat': '07', 'HDOP': '1.05', 'alt': '9.0', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 27.822537575341414, 'Humidity': 33.05561913481346, 'Sampling Period': 10.170282363891602, 'PM1': 38.71076583862305, 'PM2.5': 45.16019821166992, 'PM10': 85.32254028320312
'utc': '2020-05-18 02:52:03.094886', 'gpstime': '123337.00', 'lat': '5352.11537', 'lon': '00107.01072', 'fix': '1', 'nsat': '07', 'HDOP': '1.10', 'alt': '9.8', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 27.710383764400703, 'Humidity': 33.26161593041886, 'Sampling Period': 10.166357040405273, 'PM1': 5.3005523681640625, 'PM2.5': 5.997808933258057, 'PM10': 6.183107852935791
'utc': '2020-05-18 02:52:13.244540', 'gpstime': '123347.00', 'lat': '5352.12197', 'lon': '00107.00081', 'fix': '1', 'nsat': '08', 'HDOP': '0.97', 'alt': '10.3', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 27.65430685893034, 'Humidity': 33.51949340047303, 'Sampling Period': 10.166399955749512, 'PM1': 7.067638397216797, 'PM2.5': 7.927967071533203, 'PM10': 7.948149681091309
'utc': '2020-05-18 02:52:35.309476', 'gpstime': '123409.00', 'lat': '5352.13678', 'lon': '00106.98120', 'fix': '1', 'nsat': '08', 'HDOP': '0.97', 'alt': '11.6', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 27.582207980468453, 'Humidity': 34.27939269092851, 'Sampling Period': 22.1309871673584, 'PM1': 0.4095359742641449, 'PM2.5': 0.6009922027587891, 'PM10': 0.6074809432029724
'utc': '2020-05-18 02:52:45.496268', 'gpstime': '123420.00', 'lat': '5352.14371', 'lon': '00106.97512', 'fix': '1', 'nsat': '08', 'HDOP': '0.96', 'alt': '10.9', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 27.34187838559548, 'Humidity': 34.90501258869306, 'Sampling Period': 10.167381286621094, 'PM1': 0.5268519520759583, 'PM2.5': 1.0168696641921997, 'PM10': 2.6795670986175537
'utc': '2020-05-18 02:52:55.666271', 'gpstime': '123430.00', 'lat': '5352.15102', 'lon': '00106.96893', 'fix': '1', 'nsat': '08', 'HDOP': '0.96', 'alt': '9.5', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 27.28580148012513, 'Humidity': 34.43503471427481, 'Sampling Period': 10.16484260559082, 'PM1': 0.0, 'PM2.5': 0.0, 'PM10': 0.0
'utc': '2020-05-18 02:53:05.832395', 'gpstime': '123440.00', 'lat': '5352.15817', 'lon': '00106.95665', 'fix': '1', 'nsat': '08', 'HDOP': '0.96', 'alt': '10.0', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 27.20035095750363, 'Humidity': 34.467078660257876, 'Sampling Period': 10.170432090759277, 'PM1': 0.1217736229300499, 'PM2.5': 0.12971538305282593, 'PM10': 0.12971538305282593
'utc': '2020-05-18 02:53:16.000422', 'gpstime': '123450.00', 'lat': '5352.16530', 'lon': '00106.94940', 'fix': '1', 'nsat': '07', 'HDOP': '1.11', 'alt': '10.1', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 27.15762569619288, 'Humidity': 34.717326619363696, 'Sampling Period': 10.166229248046875, 'PM1': 16.17676544189453, 'PM2.5': 18.539392471313477, 'PM10': 18.58139991760254
'utc': '2020-05-18 02:53:26.164363', 'gpstime': '123500.00', 'lat': '5352.17256', 'lon': '00106.94367', 'fix': '1', 'nsat': '08', 'HDOP': '0.96', 'alt': '9.3', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 27.088197146562905, 'Humidity': 34.346532387273975, 'Sampling Period': 10.166399955749512, 'PM1': 198.69215393066406, 'PM2.5': 300.39208984375, 'PM10': 366.72650146484375
'utc': '2020-05-18 02:53:48.629503', 'gpstime': '123523.00', 'lat': '5352.18902', 'lon': '00106.93093', 'fix': '1', 'nsat': '08', 'HDOP': '0.96', 'alt': '11.0', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 27.016098268101018, 'Humidity': 34.81498435950255, 'Sampling Period': 22.543466567993164, 'PM1': 0.6231633424758911, 'PM2.5': 0.7005835771560669, 'PM10': 0.7016584277153015
'utc': '2020-05-18 02:53:58.807375', 'gpstime': '123533.00', 'lat': '5352.19614', 'lon': '00106.92398', 'fix': '1', 'nsat': '08', 'HDOP': '0.96', 'alt': '14.0', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 26.917296101319906, 'Humidity': 36.182192721446555, 'Sampling Period': 10.173077583312988, 'PM1': 25.60356903076172, 'PM2.5': 31.37890625, 'PM10': 94.2814712524414
'utc': '2020-05-18 02:54:08.986345', 'gpstime': '123543.00', 'lat': '5352.20155', 'lon': '00106.92025', 'fix': '1', 'nsat': '08', 'HDOP': '0.96', 'alt': '13.4', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 26.93064774547952, 'Humidity': 36.25238422217136, 'Sampling Period': 10.164799690246582, 'PM1': 30.159637451171875, 'PM2.5': 33.61415481567383, 'PM10': 59.90276336669922
'utc': '2020-05-18 02:54:19.128228', 'gpstime': '123553.00', 'lat': '5352.20786', 'lon': '00106.91151', 'fix': '1', 'nsat': '08', 'HDOP': '0.96', 'alt': '11.7', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 26.917296101319906, 'Humidity': 35.28191042954147, 'Sampling Period': 10.166399955749512, 'PM1': 13.074026107788086, 'PM2.5': 15.055317878723145, 'PM10': 15.779972076416016
'utc': '2020-05-18 02:54:29.280935', 'gpstime': '123603.00', 'lat': '5352.21344', 'lon': '00106.90676', 'fix': '1', 'nsat': '08', 'HDOP': '0.96', 'alt': '11.8', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 26.917296101319906, 'Humidity': 35.423819333180745, 'Sampling Period': 10.16753101348877, 'PM1': 15.899523735046387, 'PM2.5': 19.286041259765625, 'PM10': 26.857213973999023
'utc': '2020-05-18 02:54:39.457293', 'gpstime': '123613.00', 'lat': '5352.22039', 'lon': '00106.89952', 'fix': '1', 'nsat': '08', 'HDOP': '0.96', 'alt': '13.5', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 26.960021362630656, 'Humidity': 35.83581292439155, 'Sampling Period': 10.172224044799805, 'PM1': 0.9527708292007446, 'PM2.5': 1.8633533716201782, 'PM10': 25.725263595581055
'utc': '2020-05-18 02:55:01.529349', 'gpstime': '123636.00', 'lat': '5352.23822', 'lon': '00106.88615', 'fix': '1', 'nsat': '08', 'HDOP': '0.96', 'alt': '10.2', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 26.97337300679027, 'Humidity': 35.93499656672007, 'Sampling Period': 22.130495071411133, 'PM1': 0.05859304592013359, 'PM2.5': 0.07506844401359558, 'PM10': 0.07543827593326569
'utc': '2020-05-18 02:55:11.709011', 'gpstime': '123646.00', 'lat': '5352.24654', 'lon': '00106.87760', 'fix': '1', 'nsat': '08', 'HDOP': '0.96', 'alt': '10.9', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 26.874570840009156, 'Humidity': 34.760051880674446, 'Sampling Period': 10.160554885864258, 'PM1': 1.0250561237335205, 'PM2.5': 1.3101780414581299, 'PM10': 1.3242031335830688
'utc': '2020-05-18 02:55:21.877717', 'gpstime': '123656.00', 'lat': '5352.25407', 'lon': '00106.86695', 'fix': '1', 'nsat': '08', 'HDOP': '0.95', 'alt': '11.0', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 26.80514229037918, 'Humidity': 34.71274891279469, 'Sampling Period': 10.172821044921875, 'PM1': 3.4912383556365967, 'PM2.5': 4.0174736976623535, 'PM10': 4.0337419509887695
'utc': '2020-05-18 02:55:32.031120', 'gpstime': '123706.00', 'lat': '5352.26174', 'lon': '00106.85767', 'fix': '1', 'nsat': '08', 'HDOP': '0.95', 'alt': '11.0', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 26.746395056076906, 'Humidity': 34.70511940184634, 'Sampling Period': 10.167872428894043, 'PM1': 2.66017746925354, 'PM2.5': 3.597234010696411, 'PM10': 3.815136671066284
'utc': '2020-05-18 02:55:42.183786', 'gpstime': '123716.00', 'lat': '5352.26974', 'lon': '00106.85113', 'fix': '1', 'nsat': '07', 'HDOP': '1.35', 'alt': '9.8', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 26.71702143892577, 'Humidity': 35.43297474631876, 'Sampling Period': 10.162879943847656, 'PM1': 4.860335350036621, 'PM2.5': 7.890822887420654, 'PM10': 9.21349048614502
'utc': '2020-05-18 02:55:52.328409', 'gpstime': '123726.00', 'lat': '5352.27410', 'lon': '00106.83638', 'fix': '1', 'nsat': '08', 'HDOP': '0.95', 'alt': '8.5', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 26.604867627985044, 'Humidity': 34.43961242084382, 'Sampling Period': 10.166891098022461, 'PM1': 55.34129333496094, 'PM2.5': 85.61868286132812, 'PM10': 95.65591430664062
'utc': '2020-05-18 02:56:14.409523', 'gpstime': '123748.00', 'lat': '5352.28988', 'lon': '00106.82523', 'fix': '1', 'nsat': '08', 'HDOP': '0.95', 'alt': '11.5', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 26.59151598382543, 'Humidity': 34.86076142519264, 'Sampling Period': 22.138965606689453, 'PM1': 0.8651116490364075, 'PM2.5': 1.2047380208969116, 'PM10': 1.2771801948547363
